#п/п;Заказчик;URL;Наименование;URL;Способ_закупки;Единица_измерения;Кол-во;Цена_за_ед.;Плановая_сумма;Планируемый_срок_закупки;Статус
86437116;КГУ "Детско-юношеская спортивная школа села Тенге" Управления физической культуры и спорта Мангистауской области;https://goszakup.gov.kz/ru/registry/show_supplier/702417;Ковролан;https://goszakup.gov.kz/ru/registry/show_plan/86437116/4718039;Электронный магазин;;204;10 550.00;2 152 200.00;Апрель;Утвержден
86437113;КГУ "Детско-юношеская спортивная школа села Тенге" Управления физической культуры и спорта Мангистауской области;https://goszakup.gov.kz/ru/registry/show_supplier/702417;Ковролан;https://goszakup.gov.kz/ru/registry/show_plan/86437113/4718039;Электронный магазин;;204;10 550.00;2 152 200.00;Апрель;Утвержден
86437111;;https://goszakup.gov.kz/ru/registry/show_supplier/14961;Топливо дизельное;https://goszakup.gov.kz/ru/registry/show_plan/86437111/4717928;Запрос ценовых предложений;Литр (куб. дм.);82000;401.78;32 945 960.00;Апрель;Заявка
81785483;;https://goszakup.gov.kz/ru/registry/show_supplier/37423;Услуги по техническому обслуживанию пожарной/охранной сигнализации/систем тушения/видеонаблюдения и аналогичного оборудования;https://goszakup.gov.kz/ru/registry/show_plan/86437107/4718032;Запрос ценовых предложений;Одна услуга;1;96 000.00;96 000.00;Апрель;Утвержден
86270881;ГКП на ПХВ "Школа-гимназия №69 имени Кемеля Акишева" акимата города Астаны.;https://goszakup.gov.kz/ru/registry/show_supplier/8571;Краска;https://goszakup.gov.kz/ru/registry/show_plan/86437103/4715229;Запрос ценовых предложений;Банка условная;1;4 700.00;4 700.00;Апрель;Утвержден
84324010;;https://goszakup.gov.kz/ru/registry/show_supplier/8310;Наволочка;https://goszakup.gov.kz/ru/registry/show_plan/86437099/4717344;Запрос ценовых предложений;Штука;80;1 000.00;80 000.00;Февраль;Утвержден
86437098;;https://goszakup.gov.kz/ru/registry/show_supplier/50046;Cредство моющее;https://goszakup.gov.kz/ru/registry/show_plan/86437098/4715312;Запрос ценовых предложений;Бутылка;30;2 570.00;77 100.00;Апрель;Утвержден
84476721;;https://goszakup.gov.kz/ru/registry/show_supplier/25673;Услуги по сопровождению и технической поддержке информационной системы;https://goszakup.gov.kz/ru/registry/show_plan/86437096/4709615;Запрос ценовых предложений;Одна услуга;1;0.22;0.22;Январь;Утвержден
86124880;ГКП на ПХВ "Школа-гимназия №69 имени Кемеля Акишева" акимата города Астаны.;https://goszakup.gov.kz/ru/registry/show_supplier/8571;Фанера общего назначения;https://goszakup.gov.kz/ru/registry/show_plan/86437088/4715229;Запрос ценовых предложений;Штука;3;7 500.00;22 500.00;Апрель;Утвержден
84324780;;https://goszakup.gov.kz/ru/registry/show_supplier/8310;Пододеяльник;https://goszakup.gov.kz/ru/registry/show_plan/86437087/4717344;Запрос ценовых предложений;Штука;10;3 000.00;30 000.00;Февраль;Утвержден
86430013;;https://goszakup.gov.kz/ru/registry/show_supplier/93897;Масло;https://goszakup.gov.kz/ru/registry/show_plan/86437082/4718045;Из одного источника путем прямого заключения договора по питанию обучающихся;Литр (куб. дм.);20;804.31;16 086.20;Апрель;Проект договора
86430085;;https://goszakup.gov.kz/ru/registry/show_supplier/93897;Огурец;https://goszakup.gov.kz/ru/registry/show_plan/86437075/4718045;Из одного источника путем прямого заключения договора по питанию обучающихся;Килограмм;20;428.45;8 569.00;Апрель;Проект договора
86124915;ГКП на ПХВ "Школа-гимназия №69 имени Кемеля Акишева" акимата города Астаны.;https://goszakup.gov.kz/ru/registry/show_supplier/8571;Фанера общего назначения;https://goszakup.gov.kz/ru/registry/show_plan/86437073/4715229;Запрос ценовых предложений;Штука;3;8 500.00;25 500.00;Апрель;Утвержден
84760977;;https://goszakup.gov.kz/ru/registry/show_supplier/8310;Простыня;https://goszakup.gov.kz/ru/registry/show_plan/86437067/4717344;Запрос ценовых предложений;Штука;28;3 000.00;84 000.00;Январь;Утвержден
84999425;;https://goszakup.gov.kz/ru/registry/show_supplier/15565;Работы по изготовлению стендов/табличек/надписей;https://goszakup.gov.kz/ru/registry/show_plan/86437065/4717790;Запрос ценовых предложений;Работа;1;215 590.87;215 590.87;Май;Утвержден
84521055;;https://goszakup.gov.kz/ru/registry/show_supplier/25673;Бумага;https://goszakup.gov.kz/ru/registry/show_plan/86437058/4709615;Запрос ценовых предложений;Упаковка;16;1 724.14;27 586.24;Апрель;Заявка
86430111;;https://goszakup.gov.kz/ru/registry/show_supplier/93897;Капуста;https://goszakup.gov.kz/ru/registry/show_plan/86437056/4718045;Из одного источника путем прямого заключения договора по питанию обучающихся;Килограмм;100;155.17;15 517.00;Апрель;Проект договора
86437055;;https://goszakup.gov.kz/ru/registry/show_supplier/31888;Работы по установке/монтажу/демонтажу телекоммуникационного оборудования и аппаратуры;https://goszakup.gov.kz/ru/registry/show_plan/86437055/4713743;Из одного источника путем прямого заключения договора;Работа;1;325 250.00;325 250.00;Апрель;Утвержден
86437053;;https://goszakup.gov.kz/ru/registry/show_supplier/50046;Хлорит;https://goszakup.gov.kz/ru/registry/show_plan/86437053/4715312;Запрос ценовых предложений;Банка условная;30;5 150.00;154 500.00;Апрель;Утвержден
86125172;ГКП на ПХВ "Школа-гимназия №69 имени Кемеля Акишева" акимата города Астаны.;https://goszakup.gov.kz/ru/registry/show_supplier/8571;Пластик;https://goszakup.gov.kz/ru/registry/show_plan/86437051/4715229;Запрос ценовых предложений;Штука;1;30 000.00;30 000.00;Апрель;Утвержден
86430142;;https://goszakup.gov.kz/ru/registry/show_supplier/93897;Лук репчатый;https://goszakup.gov.kz/ru/registry/show_plan/86437046/4718045;Из одного источника путем прямого заключения договора по питанию обучающихся;Килограмм;40;123.27;4 930.80;Апрель;Проект договора
84999187;;https://goszakup.gov.kz/ru/registry/show_supplier/15565;Работы по ремонту/благоустройству территории;https://goszakup.gov.kz/ru/registry/show_plan/86437042/4717790;Запрос ценовых предложений;Работа;1;550 862.07;550 862.07;Апрель;Утвержден
86125194;ГКП на ПХВ "Школа-гимназия №69 имени Кемеля Акишева" акимата города Астаны.;https://goszakup.gov.kz/ru/registry/show_supplier/8571;Пластик;https://goszakup.gov.kz/ru/registry/show_plan/86437037/4715229;Запрос ценовых предложений;Штука;1;30 000.00;30 000.00;Апрель;Утвержден
85160352;;https://goszakup.gov.kz/ru/registry/show_supplier/8310;Матрас;https://goszakup.gov.kz/ru/registry/show_plan/86437034/4717344;Запрос ценовых предложений;Штука;6;10 000.00;60 000.00;Январь;Утвержден
86437032;КГУ "Детско-юношеская спортивная школа села Тенге" Управления физической культуры и спорта Мангистауской области;https://goszakup.gov.kz/ru/registry/show_supplier/702417;Ковролан;https://goszakup.gov.kz/ru/registry/show_plan/86437032/4718039;Электронный магазин;;204;10 550.00;2 152 200.00;Апрель;Утвержден
86430175;;https://goszakup.gov.kz/ru/registry/show_supplier/93897;Морковь;https://goszakup.gov.kz/ru/registry/show_plan/86437031/4718045;Из одного источника путем прямого заключения договора по питанию обучающихся;Килограмм;70;185.34;12 973.80;Апрель;Проект договора
86215780;ГУ "Аппарат акима Талдыбулакского сельского округа Кербулакского района";https://goszakup.gov.kz/ru/registry/show_supplier/58585;Услуги по техническому обслуживанию электрического, электрораспределительного/регулирующего оборудования и аналогичной аппаратуры;https://goszakup.gov.kz/ru/registry/show_plan/86437029/4718053;Из одного источника путем прямого заключения договора;Одна услуга;1;900 000.00;900 000.00;Апрель;Проект договора
86430466;;https://goszakup.gov.kz/ru/registry/show_supplier/93897;Огурец;https://goszakup.gov.kz/ru/registry/show_plan/86437025/4718045;Из одного источника путем прямого заключения договора по питанию обучающихся;Килограмм;30;647.41;19 422.30;Апрель;Проект договора
86125228;ГКП на ПХВ "Школа-гимназия №69 имени Кемеля Акишева" акимата города Астаны.;https://goszakup.gov.kz/ru/registry/show_supplier/8571;Пластик;https://goszakup.gov.kz/ru/registry/show_plan/86437022/4715229;Запрос ценовых предложений;Штука;3;7 000.00;21 000.00;Апрель;Утвержден
86437021;Государственное коммунальное казенное предприятие «Мангистауский высший политехнический колледж имени Халела Узбекгалиева» Управление образования Мангистауской области;https://goszakup.gov.kz/ru/registry/show_supplier/27537;Услуги по техническому обслуживанию оборудования видеотрансляции оперативной обстановки;https://goszakup.gov.kz/ru/registry/show_plan/86437021/4717953;Запрос ценовых предложений;Одна услуга;1;276 600.00;276 600.00;Апрель;Утвержден
83793430;;https://goszakup.gov.kz/ru/registry/show_supplier/79294;Средство моющее;https://goszakup.gov.kz/ru/registry/show_plan/86437016/4717376;Запрос ценовых предложений;Бутылка;3;900.00;2 700.00;Апрель;Опубликован
86430532;;https://goszakup.gov.kz/ru/registry/show_supplier/93897;Помидор;https://goszakup.gov.kz/ru/registry/show_plan/86437014/4718045;Из одного источника путем прямого заключения договора по питанию обучающихся;Килограмм;30;836.21;25 086.30;Апрель;Проект договора
